truck_type,departure_date,from_city,to_city,capacity,distance_km,season,price,demand
Trailer trucks,2023-04-05,Hyderabad,Nashik,50,573.6,1,19729.48,1597.75
Light Commercial Vehicles,2023-09-07,Amritsar,Warangal,10,1585.66,3,15500.55,881.16
Container trucks,2025-10-30,Kozhikode,Jamshedpur,40,1690.71,3,25929.8,1252.04
Medium Commercial Vehicles,2024-08-12,Visakhapatnam,Kanpur,20,1014.94,2,15443.68,1353.29
Heavy Commercial Vehicles,2023-12-09,Jodhpur,Ludhiana,30,586.18,0,13385.54,1180.06
Container trucks,2025-07-13,Thiruvananthapuram,Bilaspur,40,1600.2,2,27013.19,1519.51
Trailer trucks,2023-12-11,Delhi,Madurai,50,2071.08,0,30222.45,1270.64
Medium Commercial Vehicles,2023-09-18,Jodhpur,Vijayawada,20,1335.71,3,16850.13,1104.84
Heavy Commercial Vehicles,2025-08-27,Tiruchirappalli,Hyderabad,30,730.0,2,16550.75,1554.76
Trailer trucks,2023-03-08,Bilaspur,Kanpur,50,517.71,1,19074.77,1634.63
Medium Commercial Vehicles,2023-05-27,Guwahati,Nanded,20,1670.83,1,19666.32,979.69
Heavy Commercial Vehicles,2025-11-10,Ranchi,Warangal,30,840.95,3,15974.08,1381.1
Trailer trucks,2024-01-02,Thiruvananthapuram,Bhavnagar,50,1552.27,0,25750.15,1281.11
Light Commercial Vehicles,2023-12-02,Vadodara,Gwalior,10,667.4,0,7458.65,971.39
Container trucks,2024-03-10,Jodhpur,Solapur,40,995.4,1,19559.0,1442.66
Light Commercial Vehicles,2025-05-19,Lucknow,Chennai,10,1525.41,1,14849.35,870.95
Container trucks,2023-10-05,Guwahati,Vijayawada,40,1567.5,3,25032.3,1369.62
Container trucks,2024-07-16,Jaipur,Thiruvananthapuram,40,2038.92,2,30828.6,1411.92
Medium Commercial Vehicles,2025-05-14,Nashik,Bhavnagar,20,259.45,1,8441.8,1301.59
Heavy Commercial Vehicles,2023-10-07,Jaipur,Amritsar,30,530.84,3,13199.05,1379.46
Trailer trucks,2024-05-15,Hyderabad,Delhi,50,1250.41,1,25048.39,1540.47
Container trucks,2023-03-18,Allahabad,Udaipur,40,826.29,1,18487.18,1538.03
Heavy Commercial Vehicles,2023-05-04,Vijayawada,Chennai,30,380.97,1,11627.36,1339.25
Medium Commercial Vehicles,2025-05-26,Kolkata,Dhanbad,20,239.86,1,7425.53,1346.54
Light Commercial Vehicles,2023-12-26,Bilaspur,Gwalior,10,609.78,0,7184.76,841.46
Trailer trucks,2023-11-27,Agra,Jodhpur,50,506.67,3,18669.78,1688.54
Heavy Commercial Vehicles,2025-06-06,Madurai,Mumbai,30,1159.16,2,19810.7,1503.13
Light Commercial Vehicles,2023-12-10,Indore,Nashik,10,369.9,0,5986.01,1044.95
Light Commercial Vehicles,2025-12-03,Ludhiana,Dehradun,10,218.35,0,4762.84,922.08
Trailer trucks,2023-01-30,Amritsar,Solapur,50,1551.44,0,25942.03,1288.55
Medium Commercial Vehicles,2024-04-10,Patna,Jabalpur,20,586.84,1,11163.89,1205.93
Heavy Commercial Vehicles,2025-01-18,Gwalior,Bhopal,30,336.83,0,10852.93,1237.18
Container trucks,2025-05-21,Nanded,Mumbai,40,467.58,1,15678.76,1488.1
Heavy Commercial Vehicles,2025-12-28,Vijayawada,Kolkata,30,1051.55,0,16845.47,1117.79
Trailer trucks,2023-07-23,Warangal,Ranchi,50,840.95,2,24110.4,1772.86
Heavy Commercial Vehicles,2023-02-07,Amritsar,Dehradun,30,335.32,0,11175.9,1380.14
Heavy Commercial Vehicles,2023-04-04,Hyderabad,Rajkot,30,971.49,1,16701.09,1383.85
Medium Commercial Vehicles,2023-08-22,Jamshedpur,Vellore,20,1325.69,2,17903.28,1269.79
Light Commercial Vehicles,2024-06-13,Dehradun,Nashik,10,1220.17,2,13720.09,1108.01
Medium Commercial Vehicles,2023-05-02,Kozhikode,Surat,20,1141.12,1,14880.04,1202.04
Container trucks,2025-09-14,Rajkot,Hubli,40,892.81,3,18699.96,1514.73
Light Commercial Vehicles,2025-02-22,Bilaspur,Agra,10,702.61,0,8047.34,811.12
Medium Commercial Vehicles,2024-10-18,Kolhapur,Agra,20,1222.78,3,16235.38,1141.9
Light Commercial Vehicles,2025-03-16,Chennai,Dehradun,10,1922.19,1,18386.75,904.13
Heavy Commercial Vehicles,2024-02-27,Jabalpur,Dehradun,30,814.06,0,14854.43,1136.85
Trailer trucks,2023-05-04,Nashik,Amritsar,50,1293.71,1,25082.94,1513.56
Trailer trucks,2025-12-04,Visakhapatnam,Ludhiana,50,1642.07,0,26855.2,1376.13
Trailer trucks,2025-02-19,Bhavnagar,Tiruchirappalli,50,1401.24,0,24968.84,1391.19
Medium Commercial Vehicles,2023-07-15,Nagpur,Kolkata,20,971.52,2,14850.91,1218.12
Medium Commercial Vehicles,2023-07-09,Warangal,Allahabad,20,857.93,2,14510.88,1412.57
Trailer trucks,2024-08-22,Surat,Madurai,50,1367.1,2,28214.48,1644.5
Heavy Commercial Vehicles,2023-05-25,Allahabad,Ahmedabad,30,978.97,1,16925.35,1296.1
Trailer trucks,2023-02-20,Nanded,Vijayawada,50,457.42,0,17582.99,1647.11
Light Commercial Vehicles,2025-06-13,Udaipur,Patna,10,1157.56,2,13698.29,1167.74
Container trucks,2023-05-14,Mumbai,Patna,40,1453.49,1,23916.42,1267.73
Medium Commercial Vehicles,2025-08-10,Mumbai,Bilaspur,20,1021.16,2,15852.37,1263.11
Medium Commercial Vehicles,2023-07-19,Warangal,Kozhikode,20,849.34,2,13800.47,1408.52
Trailer trucks,2025-05-25,Bhavnagar,Surat,50,96.36,1,16066.71,1826.32
Heavy Commercial Vehicles,2023-07-09,Bhopal,Kanpur,30,460.3,2,14010.64,1517.49
Medium Commercial Vehicles,2024-07-03,Solapur,Udaipur,20,799.89,2,13771.92,1251.76
Heavy Commercial Vehicles,2024-01-20,Bilaspur,Mumbai,30,1021.16,0,15821.76,1101.86
Container trucks,2023-08-10,Lucknow,Nanded,40,930.9,2,20963.06,1694.94
Light Commercial Vehicles,2024-10-02,Delhi,Pune,10,1168.9,3,12597.78,1035.62
Light Commercial Vehicles,2024-10-28,Mumbai,Nagpur,10,688.61,3,8404.5,1082.16
Medium Commercial Vehicles,2024-05-11,Surat,Nanded,20,520.47,1,10541.57,1279.22
Light Commercial Vehicles,2024-05-26,Hyderabad,Pune,10,506.29,1,7193.74,1121.34
Light Commercial Vehicles,2023-08-07,Bangalore,Bhavnagar,10,1131.7,2,13644.52,1035.35
Medium Commercial Vehicles,2024-01-08,Ahmedabad,Warangal,20,920.82,0,13143.71,965.33
Trailer trucks,2025-04-14,Patna,Lucknow,50,441.21,1,18667.19,1721.49
Light Commercial Vehicles,2024-08-31,Bilaspur,Jhansi,10,521.29,2,8157.76,1182.65
Heavy Commercial Vehicles,2024-09-27,Indore,Vijayawada,30,851.62,3,15635.96,1359.85
Heavy Commercial Vehicles,2023-05-08,Warangal,Madurai,30,905.11,1,15754.51,1257.04
Light Commercial Vehicles,2024-05-04,Hubli,Vijayawada,10,604.76,1,7783.84,1111.89
Trailer trucks,2023-03-05,Solapur,Jamshedpur,50,1216.76,1,24702.8,1547.28
Container trucks,2024-09-14,Ludhiana,Meerut,40,277.39,3,14705.42,1513.39
Light Commercial Vehicles,2025-06-05,Hubli,Jhansi,10,1172.64,2,13472.88,1184.17
Trailer trucks,2024-12-25,Agra,Vijayawada,50,1212.52,0,23962.13,1365.32
Container trucks,2025-05-25,Pune,Guwahati,40,2023.36,1,28679.01,1199.73
Container trucks,2024-03-30,Nagpur,Vellore,40,910.76,1,19072.09,1421.81
Light Commercial Vehicles,2023-04-23,Ludhiana,Pune,10,1386.07,1,13820.61,875.46
Light Commercial Vehicles,2025-06-22,Jabalpur,Visakhapatnam,10,695.48,2,9151.14,1172.08
Heavy Commercial Vehicles,2023-07-20,Nagpur,Mangalore,30,1016.13,2,18589.84,1443.51
Container trucks,2025-09-26,Surat,Vadodara,40,131.0,3,13172.83,1717.18
Heavy Commercial Vehicles,2023-08-15,Mangalore,Jabalpur,30,1259.15,2,21417.08,1317.18
Light Commercial Vehicles,2023-10-03,Patna,Bhopal,10,824.8,3,9570.8,1097.74
Container trucks,2025-01-04,Ranchi,Ahmedabad,40,1304.25,0,21115.66,1170.32
Medium Commercial Vehicles,2023-12-24,Gwalior,Ahmedabad,20,669.31,0,10807.73,1041.48
Container trucks,2024-10-26,Agra,Hyderabad,40,1085.41,3,20494.31,1369.87
Medium Commercial Vehicles,2023-02-06,Jhansi,Raipur,20,560.32,0,10027.94,1052.37
Light Commercial Vehicles,2025-12-26,Meerut,Guwahati,10,1419.82,0,14094.2,739.81
Trailer trucks,2024-12-01,Pune,Kanpur,50,1101.79,0,22841.84,1420.53
Heavy Commercial Vehicles,2024-10-07,Allahabad,Amritsar,30,967.87,3,16444.63,1207.82
Heavy Commercial Vehicles,2024-02-11,Warangal,Kolkata,30,1047.45,0,16975.3,1050.51
Trailer trucks,2024-10-10,Gwalior,Delhi,50,282.38,3,17095.93,1790.06
Container trucks,2024-07-05,Jodhpur,Bhavnagar,40,503.46,2,17523.46,1650.83
Light Commercial Vehicles,2023-08-06,Udaipur,Jaipur,10,331.33,2,6211.24,1187.85
Heavy Commercial Vehicles,2023-10-21,Jamshedpur,Thiruvananthapuram,30,1864.88,3,24090.88,1046.82
Heavy Commercial Vehicles,2025-02-02,Kanpur,Mangalore,30,1604.04,0,21096.64,1067.7
Trailer trucks,2023-03-10,Madurai,Ranchi,50,1670.44,1,28307.01,1526.5
Heavy Commercial Vehicles,2024-04-11,Bangalore,Udaipur,30,1348.85,1,20194.75,1236.57
Medium Commercial Vehicles,2024-12-26,Ranchi,Nashik,20,1248.04,0,15427.99,955.33
Trailer trucks,2023-09-27,Nashik,Thiruvananthapuram,50,1313.93,3,25663.15,1498.88
Container trucks,2024-06-08,Jhansi,Jaipur,40,321.86,2,15865.32,1697.33
Medium Commercial Vehicles,2023-09-01,Hyderabad,Nagpur,20,421.08,3,9482.71,1238.59
Heavy Commercial Vehicles,2023-01-01,Kolkata,Patna,30,468.6,0,12528.44,1177.73
Heavy Commercial Vehicles,2024-08-14,Ahmedabad,Madurai,30,1565.23,2,23401.73,1415.04
Container trucks,2023-01-11,Lucknow,Nanded,40,930.9,0,18548.96,1261.68
Light Commercial Vehicles,2024-06-14,Pune,Rajkot,10,526.34,2,8013.5,1172.12
Light Commercial Vehicles,2025-02-24,Dhanbad,Kozhikode,10,1788.08,0,16116.01,724.75
Container trucks,2023-01-26,Visakhapatnam,Indore,40,949.54,0,18884.01,1390.99
Light Commercial Vehicles,2023-05-16,Hubli,Kanpur,10,1341.1,1,13409.93,910.8
Container trucks,2024-12-01,Raipur,Jamshedpur,40,502.47,0,14937.96,1394.96
Container trucks,2025-09-15,Indore,Tiruchirappalli,40,1354.49,3,22523.54,1420.68
Container trucks,2024-10-08,Pune,Vadodara,40,425.12,3,15813.08,1474.88
Trailer trucks,2024-08-13,Hubli,Agra,50,1341.51,2,28669.65,1645.51
Medium Commercial Vehicles,2023-09-15,Nagpur,Solapur,20,510.44,3,9870.73,1203.87
Heavy Commercial Vehicles,2024-11-24,Coimbatore,Mangalore,30,310.4,3,11756.55,1371.82
Heavy Commercial Vehicles,2025-08-31,Vadodara,Bilaspur,30,924.15,2,18413.43,1493.25
Medium Commercial Vehicles,2025-07-22,Jabalpur,Ludhiana,20,948.06,2,15127.97,1289.79
Heavy Commercial Vehicles,2025-03-31,Bilaspur,Bhopal,30,503.16,1,13191.81,1483.08
Heavy Commercial Vehicles,2025-10-26,Jamshedpur,Coimbatore,30,1633.37,3,21944.23,1084.11
Container trucks,2023-04-25,Hyderabad,Nagpur,40,421.08,1,15368.3,1657.37
Container trucks,2023-11-27,Mumbai,Guwahati,40,2088.02,3,28994.32,1180.44
Container trucks,2023-11-09,Rajkot,Mangalore,40,1124.55,3,20878.57,1397.74
Light Commercial Vehicles,2025-11-04,Gwalior,Jaipur,10,250.75,3,4547.5,1162.2
Trailer trucks,2023-01-12,Vijayawada,Kanpur,50,1101.51,0,22676.26,1376.83
Light Commercial Vehicles,2023-04-06,Nanded,Hyderabad,10,229.9,1,4496.97,1091.57
Trailer trucks,2025-05-30,Chennai,Jodhpur,50,1641.68,1,28275.4,1539.59
Light Commercial Vehicles,2024-09-26,Bhavnagar,Chennai,10,1290.48,3,13739.55,948.55
Heavy Commercial Vehicles,2023-07-19,Madurai,Ranchi,30,1670.44,2,24382.47,1286.91
Heavy Commercial Vehicles,2024-06-29,Hubli,Amritsar,30,1802.11,2,25738.22,1293.49
Heavy Commercial Vehicles,2023-05-02,Dehradun,Meerut,30,150.98,1,10058.55,1408.73
Light Commercial Vehicles,2025-12-18,Lucknow,Kozhikode,10,1808.5,0,16341.01,708.94
Container trucks,2024-05-04,Visakhapatnam,Indore,40,949.54,1,19449.95,1519.96
Container trucks,2024-09-07,Ludhiana,Dehradun,40,218.35,3,13403.29,1536.17
Light Commercial Vehicles,2023-09-11,Bhopal,Agra,10,438.02,3,6150.62,1108.36
Container trucks,2023-05-30,Kolhapur,Warangal,40,585.91,1,16637.78,1580.39
Trailer trucks,2023-11-29,Hyderabad,Raipur,50,540.57,3,19636.91,1679.53
Light Commercial Vehicles,2024-09-12,Bangalore,Jodhpur,10,1544.54,3,15732.36,982.49
Medium Commercial Vehicles,2023-01-28,Coimbatore,Hyderabad,20,723.69,0,11678.59,997.38
Trailer trucks,2025-07-24,Mumbai,Kanpur,50,1118.72,2,26188.24,1799.89
Light Commercial Vehicles,2023-09-21,Vadodara,Delhi,10,807.42,3,9884.31,946.62
Light Commercial Vehicles,2025-06-20,Hyderabad,Ahmedabad,10,878.2,2,11344.62,1078.49
Trailer trucks,2025-01-29,Vadodara,Gwalior,50,667.4,0,19133.28,1611.05
Light Commercial Vehicles,2023-11-28,Vadodara,Mangalore,10,1054.65,3,11174.74,1044.3
Light Commercial Vehicles,2023-03-12,Bilaspur,Warangal,10,526.41,1,6742.09,1030.93
Trailer trucks,2025-09-09,Dehradun,Tiruchirappalli,50,2163.03,3,32376.42,1302.35
Trailer trucks,2024-09-01,Jaipur,Lucknow,50,512.61,3,18858.75,1760.31
Trailer trucks,2025-01-04,Vijayawada,Vadodara,50,1013.22,0,21800.63,1352.99
Heavy Commercial Vehicles,2025-05-24,Rajkot,Tiruchirappalli,30,1527.04,1,21227.23,1270.75
Medium Commercial Vehicles,2024-01-30,Surat,Tiruchirappalli,20,1308.93,0,15742.64,1033.51
Heavy Commercial Vehicles,2025-07-27,Madurai,Kozhikode,30,295.46,2,12316.24,1627.65
Heavy Commercial Vehicles,2024-07-08,Mumbai,Ahmedabad,30,438.11,2,13696.75,1657.53
Trailer trucks,2024-05-09,Surat,Rajkot,50,244.56,1,16579.24,1743.04
Medium Commercial Vehicles,2025-02-09,Dhanbad,Thiruvananthapuram,20,1969.61,0,20794.81,777.26
Light Commercial Vehicles,2024-07-03,Surat,Raipur,10,913.42,2,11293.4,1118.66
Light Commercial Vehicles,2025-03-27,Amritsar,Ahmedabad,10,980.94,1,10918.48,946.15
Container trucks,2024-08-21,Vijayawada,Warangal,40,197.76,2,15026.02,1744.34
Light Commercial Vehicles,2023-06-19,Solapur,Kanpur,10,1074.91,2,12643.91,1145.87
Container trucks,2025-01-09,Nagpur,Agra,40,676.94,0,16793.51,1304.8
Container trucks,2025-12-31,Ludhiana,Patna,40,1083.37,0,19663.82,1304.7
Light Commercial Vehicles,2024-05-23,Nashik,Thiruvananthapuram,10,1313.93,1,13557.56,1026.79
Heavy Commercial Vehicles,2024-05-15,Hyderabad,Kolkata,30,1182.01,1,18764.89,1219.15
Light Commercial Vehicles,2025-05-03,Kolkata,Guwahati,10,523.02,1,7287.7,1079.27
Medium Commercial Vehicles,2024-03-27,Agra,Mangalore,20,1612.82,1,19067.48,1071.55
Medium Commercial Vehicles,2024-03-10,Tiruchirappalli,Ranchi,20,1556.29,1,18672.79,1078.93
Medium Commercial Vehicles,2025-03-20,Visakhapatnam,Pune,20,995.05,1,14343.27,1132.07
Container trucks,2024-08-23,Rajkot,Kanpur,40,1069.86,2,22442.84,1648.88
Trailer trucks,2024-01-08,Tiruchirappalli,Vellore,50,239.76,0,16341.15,1664.55
Heavy Commercial Vehicles,2023-12-28,Mangalore,Hubli,30,272.68,0,10585.2,1257.61
Trailer trucks,2023-02-09,Kolhapur,Madurai,50,859.52,0,20629.59,1545.82
Light Commercial Vehicles,2025-06-06,Pune,Agra,10,1048.8,2,12780.27,1107.75
Medium Commercial Vehicles,2024-04-17,Jaipur,Jodhpur,20,285.19,1,8677.93,1278.98
Heavy Commercial Vehicles,2023-12-05,Delhi,Tiruchirappalli,30,1979.34,0,23461.66,934.08
Light Commercial Vehicles,2025-01-10,Bhopal,Gwalior,10,336.83,0,4994.58,1021.79
Heavy Commercial Vehicles,2024-12-25,Mumbai,Visakhapatnam,30,1103.35,0,16579.41,1169.62
Light Commercial Vehicles,2023-03-03,Guwahati,Nanded,10,1670.83,1,16340.56,787.54
Container trucks,2025-09-07,Patna,Mumbai,40,1453.49,3,23598.67,1308.97
Medium Commercial Vehicles,2024-12-12,Vijayawada,Bangalore,20,510.89,0,9829.57,1088.59
Medium Commercial Vehicles,2023-01-26,Vadodara,Mangalore,20,1054.65,0,14083.06,1005.85
Trailer trucks,2024-05-17,Bhopal,Kozhikode,50,1339.47,1,26054.29,1561.49
Container trucks,2025-06-15,Tiruchirappalli,Coimbatore,40,192.83,2,15222.04,1742.65
Light Commercial Vehicles,2025-06-09,Bangalore,Indore,10,1094.46,2,12684.48,1050.06
Trailer trucks,2024-11-06,Warangal,Gwalior,50,923.95,3,22607.51,1639.99
Heavy Commercial Vehicles,2023-11-16,Ahmedabad,Nanded,30,654.51,3,14045.39,1321.68
Trailer trucks,2025-05-29,Tiruchirappalli,Indore,50,1354.49,1,26331.63,1493.31
Heavy Commercial Vehicles,2023-03-26,Dehradun,Agra,30,348.0,1,11561.51,1336.5
Trailer trucks,2024-01-26,Indore,Kanpur,50,613.16,0,18686.92,1457.21
Light Commercial Vehicles,2025-11-05,Chennai,Raipur,10,915.51,3,10088.99,962.81
Trailer trucks,2025-03-06,Kolkata,Coimbatore,50,1762.87,1,29146.86,1348.01
Light Commercial Vehicles,2024-08-20,Vijayawada,Kozhikode,10,783.35,2,9998.18,1111.61
Trailer trucks,2025-11-21,Madurai,Coimbatore,50,175.55,3,16158.77,1790.07
Heavy Commercial Vehicles,2024-06-24,Madurai,Raipur,30,1308.42,2,21391.2,1379.75
Medium Commercial Vehicles,2024-03-26,Mumbai,Pune,20,120.14,1,7154.29,1416.82
Heavy Commercial Vehicles,2023-04-24,Rajkot,Dehradun,30,1143.54,1,18608.61,1327.91
Trailer trucks,2024-10-22,Ranchi,Jabalpur,50,544.95,3,19684.58,1737.28
Medium Commercial Vehicles,2025-09-06,Bangalore,Hubli,20,375.8,3,8912.82,1305.54
Container trucks,2025-03-03,Hubli,Pune,40,374.41,1,15417.36,1607.48
Medium Commercial Vehicles,2025-02-09,Kolkata,Tiruchirappalli,20,1660.34,0,18241.98,817.26
Medium Commercial Vehicles,2025-03-23,Visakhapatnam,Jaipur,20,1275.94,1,16356.86,1039.95
Medium Commercial Vehicles,2023-02-26,Jhansi,Jaipur,20,321.86,0,8631.84,1225.41
Medium Commercial Vehicles,2025-01-04,Kozhikode,Madurai,20,295.46,0,7564.58,1099.96
Container trucks,2023-06-30,Ludhiana,Ranchi,40,1255.62,2,24680.83,1560.51
Container trucks,2024-07-05,Raipur,Mangalore,40,1170.45,2,23947.7,1556.13
Light Commercial Vehicles,2024-04-11,Visakhapatnam,Coimbatore,10,1000.17,1,10982.7,996.44
Trailer trucks,2024-06-17,Udaipur,Vadodara,50,258.08,2,18786.32,1984.18
Medium Commercial Vehicles,2023-12-10,Chennai,Warangal,20,546.57,0,10012.11,1152.02
Medium Commercial Vehicles,2025-12-12,Bhopal,Bangalore,20,1138.91,0,14684.44,963.38
Heavy Commercial Vehicles,2023-09-01,Vijayawada,Patna,30,1108.84,3,17951.69,1215.41
Light Commercial Vehicles,2024-08-06,Kolhapur,Dhanbad,10,1494.63,2,16380.18,960.15
Trailer trucks,2023-09-28,Visakhapatnam,Surat,50,1156.65,3,24286.49,1548.94
Medium Commercial Vehicles,2023-03-07,Kanpur,Delhi,20,390.7,1,8690.07,1174.47
Light Commercial Vehicles,2024-11-30,Rajkot,Mumbai,10,417.68,3,6452.71,1038.38
Trailer trucks,2025-12-02,Amritsar,Kolkata,50,1670.23,0,26514.56,1322.71
Trailer trucks,2025-05-08,Ahmedabad,Chennai,50,1368.41,1,25473.38,1606.23
Medium Commercial Vehicles,2024-10-29,Ranchi,Jabalpur,20,544.95,3,10287.78,1193.6
Container trucks,2025-04-12,Warangal,Jamshedpur,40,872.32,1,18988.16,1550.55
Heavy Commercial Vehicles,2025-01-17,Bhavnagar,Madurai,30,1457.15,0,19300.14,1041.6
Medium Commercial Vehicles,2024-06-21,Bilaspur,Visakhapatnam,20,499.22,2,10765.51,1478.33
Container trucks,2025-02-07,Ludhiana,Jabalpur,40,948.06,0,18582.79,1271.98
Container trucks,2025-06-30,Agra,Bilaspur,40,702.61,2,19113.56,1747.93
Trailer trucks,2023-01-01,Ludhiana,Guwahati,50,1639.33,0,26691.79,1241.85
Container trucks,2023-08-25,Mumbai,Guwahati,40,2088.02,2,31995.16,1375.68
Light Commercial Vehicles,2024-07-28,Patna,Visakhapatnam,10,897.75,2,10862.06,1159.27
Container trucks,2025-04-11,Mangalore,Raipur,40,1170.45,1,21132.7,1448.08
Medium Commercial Vehicles,2025-04-25,Agra,Mumbai,20,1039.35,1,14591.54,1141.8
Trailer trucks,2025-08-28,Udaipur,Nanded,50,709.05,2,22408.61,1841.9
Heavy Commercial Vehicles,2024-11-19,Coimbatore,Guwahati,30,2284.22,3,27398.05,1049.53
Medium Commercial Vehicles,2024-12-23,Bhavnagar,Ahmedabad,20,145.85,0,7113.55,1214.09
Container trucks,2023-08-13,Kanpur,Delhi,40,390.7,2,16948.63,1774.57
Trailer trucks,2023-03-20,Bhavnagar,Jodhpur,50,503.46,1,19389.05,1775.37
Trailer trucks,2024-12-18,Allahabad,Agra,50,429.03,0,17396.58,1630.18
Heavy Commercial Vehicles,2023-03-13,Jamshedpur,Hubli,30,1426.39,1,20412.24,1242.31
Trailer trucks,2024-08-22,Jamshedpur,Kozhikode,50,1690.71,2,31158.69,1710.73
Medium Commercial Vehicles,2024-04-26,Kolkata,Vadodara,20,1562.52,1,18848.37,1122.39
Container trucks,2024-08-03,Meerut,Mumbai,40,1201.98,2,23742.27,1486.56
Trailer trucks,2023-12-30,Jodhpur,Bhopal,50,553.03,0,18726.37,1628.78
Medium Commercial Vehicles,2023-09-05,Vijayawada,Kozhikode,20,783.35,3,12389.2,1243.04
Container trucks,2023-09-08,Patna,Ahmedabad,40,1306.39,3,22915.15,1304.44
Medium Commercial Vehicles,2024-06-29,Ludhiana,Solapur,20,1466.56,2,19235.09,1212.43
Light Commercial Vehicles,2024-08-16,Raipur,Tiruchirappalli,10,1199.05,2,14294.44,1123.51
Light Commercial Vehicles,2023-10-17,Jabalpur,Chennai,10,1118.18,3,12068.22,995.62
Light Commercial Vehicles,2024-05-20,Guwahati,Ludhiana,10,1639.33,1,16374.09,923.0
Container trucks,2024-12-08,Lucknow,Amritsar,40,793.56,0,17462.56,1397.9
Heavy Commercial Vehicles,2024-08-06,Meerut,Nanded,30,1091.28,2,19259.63,1356.68
Light Commercial Vehicles,2023-10-27,Bilaspur,Chennai,10,1015.31,3,10666.46,1012.75
Medium Commercial Vehicles,2025-02-03,Mumbai,Pune,20,120.14,0,6642.47,1191.95
Light Commercial Vehicles,2023-09-04,Gwalior,Mumbai,10,960.37,3,10485.91,1102.17
Heavy Commercial Vehicles,2024-08-05,Ranchi,Vadodara,30,1249.93,2,21362.78,1342.01
Heavy Commercial Vehicles,2024-07-13,Dehradun,Guwahati,30,1421.11,2,22473.94,1297.5
Trailer trucks,2023-08-29,Jhansi,Bhopal,50,269.29,2,18749.79,1980.75
Trailer trucks,2024-05-05,Solapur,Vadodara,50,588.19,1,19658.32,1605.04
Container trucks,2023-08-12,Ranchi,Vadodara,40,1249.93,2,24252.55,1596.81
Medium Commercial Vehicles,2025-10-01,Meerut,Solapur,20,1267.58,3,16483.13,1127.02
Heavy Commercial Vehicles,2025-02-23,Jabalpur,Kolhapur,30,935.38,0,16066.68,1084.0
Medium Commercial Vehicles,2023-06-02,Meerut,Nanded,20,1091.28,2,16579.1,1195.61
Trailer trucks,2025-08-12,Warangal,Kozhikode,50,849.34,2,24016.27,1823.49
Medium Commercial Vehicles,2023-11-06,Udaipur,Indore,20,300.99,3,8237.45,1198.43
Medium Commercial Vehicles,2023-05-29,Patna,Vellore,20,1538.12,1,18754.55,1069.47
Heavy Commercial Vehicles,2023-02-01,Warangal,Jodhpur,30,1137.97,0,17609.32,1148.28
Light Commercial Vehicles,2025-08-24,Jamshedpur,Agra,10,958.27,2,11494.93,1077.52
Container trucks,2025-05-19,Warangal,Meerut,40,1234.05,1,22173.5,1429.74
Container trucks,2024-08-31,Vadodara,Amritsar,40,1046.95,2,21977.2,1545.4
Light Commercial Vehicles,2023-08-17,Patna,Kozhikode,10,1867.65,2,19610.89,1037.89
Container trucks,2025-07-18,Warangal,Jamshedpur,40,872.32,2,21211.25,1530.88
Container trucks,2025-07-13,Amritsar,Nashik,40,1293.71,2,24395.45,1523.47
Light Commercial Vehicles,2024-12-10,Raipur,Nagpur,10,264.14,0,4668.08,1007.63
Container trucks,2024-09-29,Madurai,Lucknow,40,1896.5,3,26831.98,1272.97
Trailer trucks,2023-10-02,Udaipur,Tiruchirappalli,50,1615.53,3,28392.87,1557.19
Light Commercial Vehicles,2024-02-01,Jabalpur,Hyderabad,10,660.54,0,7834.33,943.16
Container trucks,2024-08-02,Surat,Jabalpur,40,770.71,2,19904.36,1577.84
Heavy Commercial Vehicles,2024-09-09,Bhopal,Coimbatore,30,1355.86,3,19679.65,1325.36
Trailer trucks,2025-05-12,Hubli,Meerut,50,1531.38,1,26833.4,1573.32
Medium Commercial Vehicles,2023-12-23,Nashik,Raipur,20,828.74,0,12487.13,1033.07
Light Commercial Vehicles,2024-05-12,Patna,Dhanbad,10,238.32,1,5150.28,1151.62
Medium Commercial Vehicles,2023-07-28,Rajkot,Thiruvananthapuram,20,1660.16,2,21458.42,1183.81
Medium Commercial Vehicles,2023-04-27,Tiruchirappalli,Vellore,20,239.76,1,8249.47,1378.87
Container trucks,2023-08-04,Nagpur,Mangalore,40,1016.13,2,22425.64,1552.83
Heavy Commercial Vehicles,2024-12-08,Nanded,Raipur,30,507.42,0,12396.82,1181.79
Trailer trucks,2023-05-10,Jamshedpur,Vellore,50,1325.69,1,25230.26,1612.75
Trailer trucks,2023-05-31,Ahmedabad,Rajkot,50,198.48,1,16765.6,1794.5
Heavy Commercial Vehicles,2025-05-25,Vellore,Thiruvananthapuram,30,541.96,1,13802.85,1339.28
Medium Commercial Vehicles,2024-11-14,Jamshedpur,Nashik,20,1323.6,3,16544.28,1100.35
Trailer trucks,2025-08-21,Jabalpur,Allahabad,50,313.02,2,19502.37,1831.29
Container trucks,2025-02-12,Mangalore,Hubli,40,272.68,0,13341.86,1433.89
Trailer trucks,2025-09-14,Jhansi,Jodhpur,50,562.61,3,19809.72,1686.36
Container trucks,2025-09-09,Ahmedabad,Vadodara,40,101.01,3,12854.81,1674.95
Trailer trucks,2023-06-12,Ahmedabad,Jabalpur,50,759.75,2,23186.29,1862.35
Light Commercial Vehicles,2025-03-23,Delhi,Ahmedabad,10,774.37,1,8975.27,1127.0
